x0,x1,x2,x3,x4,x5,x6,x7,y
5,4.0,8.0,A5,A14,A17,540.0,621.0,-16.0
5,1.0,7.0,A7,A60,A60,1365.0,1415.0,-5.0
5,1.0,28.0,A11,A53,A31,726.0,770.0,-5.0
5,8.0,21.0,A6,A7,A16,1060.0,1417.0,-18.0
5,9.0,21.0,A1,,A61,1365.0,1435.0,
5,3.0,8.0,A0,A61,A62,395.0,435.0,-4.0
5,8.0,31.0,A5,A62,A19,1080.0,1157.0,-6.0
5,10.0,13.0,A0,A63,A63,855.0,925.0,-10.0
5,7.0,28.0,A5,,A19,460.0,590.0,13.0
5,5.0,4.0,A4,,A23,700.0,768.0,-11.0
5,7.0,2.0,A0,A58,A54,500.0,755.0,-4.0
5,12.0,11.0,A0,,A21,1160.0,1235.0,-12.0
5,8.0,1.0,A2,,A14,1244.0,1368.0,-7.0
5,10.0,1.0,A0,A32,A64,1125.0,1390.0,-7.0
5,9.0,10.0,A6,A9,A19,470.0,559.0,-17.0
5,6.0,16.0,A6,A16,A9,625.0,,-11.0
5,10.0,23.0,A6,A32,A65,615.0,693.0,3.0
5,11.0,21.0,A6,,A40,915.0,978.0,-13.0
5,12.0,27.0,A2,A55,A46,480.0,,-3.0
5,11.0,8.0,A12,A45,A62,604.0,816.0,-11.0
5,1.0,12.0,A13,A66,A21,935.0,1102.0,22.0
5,5.0,17.0,A3,A67,A29,978.0,1054.0,-12.0
5,8.0,30.0,A4,,A0,1050.0,1104.0,-22.0
5,1.0,4.0,A9,A13,A21,669.0,771.0,68.0
5,8.0,28.0,A4,A45,A66,1128.0,1215.0,-10.0
5,1.0,11.0,A6,A14,A67,1040.0,1106.0,31.0
5,8.0,30.0,A13,A40,A16,745.0,885.0,-6.0
5,4.0,7.0,A2,A9,A49,775.0,862.0,6.0
5,3.0,1.0,A11,A69,A15,895.0,1330.0,10.0
5,10.0,24.0,A1,A3,A68,839.0,920.0,4.0
5,7.0,18.0,A0,A17,A46,395.0,665.0,-1.0
5,12.0,1.0,A6,A60,A69,685.0,736.0,14.0
5,8.0,20.0,A4,A70,A8,800.0,868.0,47.0
5,7.0,4.0,A4,A45,A70,1143.0,1246.0,-21.0
5,3.0,15.0,A0,A56,A21,705.0,905.0,4.0
5,1.0,14.0,A6,A34,A9,350.0,537.0,39.0
5,5.0,9.0,A9,A71,A49,1086.0,1225.0,10.0
5,9.0,24.0,A4,A72,A21,360.0,560.0,-13.0
5,8.0,2.0,A0,A43,A49,335.0,555.0,-19.0
5,6.0,23.0,A2,A25,A49,577.0,756.0,-8.0
5,4.0,13.0,A3,A9,A71,671.0,715.0,4.0
5,7.0,21.0,A2,A5,A8,1110.0,1262.0,-10.0
5,12.0,18.0,A2,A4,A52,565.0,1015.0,6.0
5,12.0,28.0,A4,A9,A72,546.0,654.0,7.0
5,1.0,20.0,A2,A24,A28,515.0,637.0,-30.0
5,7.0,24.0,A6,A14,A73,951.0,1013.0,7.0
5,11.0,4.0,A8,,A56,1030.0,1100.0,-17.0
5,2.0,16.0,A0,A16,A74,1040.0,,-3.0
5,5.0,27.0,A2,A73,A29,735.0,904.0,-25.0
5,2.0,18.0,A4,A9,A75,845.0,893.0,9.0
5,11.0,27.0,A13,A16,A21,1035.0,1158.0,-10.0
5,10.0,23.0,A0,A74,A76,915.0,965.0,-5.0
5,6.0,24.0,A12,,A56,1210.0,1336.0,71.0
5,10.0,18.0,A4,A75,A77,1030.0,1092.0,23.0
5,1.0,3.0,A12,A13,A78,820.0,1005.0,122.0
5,11.0,20.0,A4,A6,A29,1156.0,1333.0,-8.0
5,5.0,1.0,A5,,A19,488.0,585.0,-22.0
5,4.0,12.0,A4,A56,A0,390.0,448.0,-14.0
5,12.0,9.0,A4,A77,A21,375.0,430.0,-24.0
5,10.0,24.0,A5,A78,A42,570.0,701.0,186.0
5,6.0,12.0,A3,,A19,1105.0,1156.0,8.0
5,10.0,2.0,A12,A80,A34,905.0,1403.0,-1.0
5,12.0,29.0,A0,A81,A30,695.0,760.0,17.0
5,8.0,8.0,A8,A31,A11,920.0,1394.0,-13.0
5,7.0,21.0,A4,A24,A44,926.0,1056.0,-18.0
5,11.0,18.0,A0,A54,A69,965.0,1030.0,11.0
5,5.0,7.0,A0,A28,A56,405.0,590.0,-28.0
5,9.0,25.0,A0,A45,A57,780.0,930.0,4.0
5,4.0,1.0,A0,A28,A41,1100.0,1160.0,27.0
5,12.0,3.0,A8,,A56,1035.0,1190.0,4.0
5,12.0,15.0,A12,A6,A39,1150.0,1388.0,-1321.0
5,9.0,1.0,A12,A30,A0,1353.0,1436.0,-11.0
5,9.0,30.0,A6,A83,A19,1120.0,1269.0,-29.0
5,5.0,6.0,A12,A45,A16,899.0,1105.0,44.0
5,11.0,15.0,A0,,A79,1010.0,,-12.0
5,2.0,27.0,A0,A11,A80,775.0,1070.0,108.0
5,2.0,23.0,A3,A6,A81,777.0,866.0,27.0
5,2.0,20.0,A7,A60,A79,785.0,884.0,-2.0
5,8.0,8.0,A12,A13,A44,1054.0,1217.0,-17.0
5,10.0,4.0,A6,A74,A82,720.0,1030.0,-12.0
5,4.0,24.0,A2,A84,A8,570.0,617.0,-5.0
5,5.0,29.0,A0,A66,A35,640.0,700.0,-7.0
5,2.0,21.0,A6,,A19,901.0,1220.0,-18.0
5,7.0,15.0,A3,A9,A83,824.0,822.0,-9.0
5,7.0,23.0,A0,A17,A84,860.0,1045.0,-10.0
5,11.0,26.0,A3,A13,A85,554.0,611.0,8.0
5,7.0,5.0,A2,A48,A86,1010.0,1056.0,-7.0
5,3.0,22.0,A5,A13,A87,1265.0,1391.0,38.0
5,7.0,9.0,A2,A12,A88,1171.0,1239.0,18.0
5,10.0,9.0,A6,A3,A89,630.0,831.0,-1.0
5,6.0,7.0,A3,,A90,1018.0,1118.0,27.0
5,9.0,21.0,A6,A60,A45,1070.0,1156.0,-20.0
5,7.0,7.0,A0,,A47,1160.0,1225.0,45.0
5,3.0,3.0,A0,A52,A30,1035.0,1175.0,40.0
5,5.0,26.0,A3,A85,A29,1095.0,1256.0,143.0
