Zip,Total Population,Total Population of One Race,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,Total Population of Two or More Races
ZCTA5 90057,44998,42609,12924,2087,722,8991,177,285,2597,146,5362,37,387,99,9,80,2,8,17786,2389
ZCTA5 90058,3223,3082,1149,300,82,142,0,3,6,3,5,3,122,0,0,0,0,0,1409,141
ZCTA5 90059,40952,39485,8900,14047,274,116,21,13,36,6,16,8,16,64,1,2,43,18,16084,1467
ZCTA5 90061,26872,25893,5794,10026,170,96,21,7,32,10,12,3,11,44,1,11,24,8,9763,979
ZCTA5 90062,32821,31348,6955,12420,275,387,21,104,82,43,75,40,22,28,2,16,5,5,11283,1473
ZCTA5 90063,55758,53895,27064,398,651,673,19,222,114,197,36,16,69,25,10,8,2,5,25084,1863
ZCTA5 90064,25403,24106,17703,670,68,4265,350,1264,458,972,696,110,415,26,9,6,3,8,1374,1297
ZCTA5 90065,45527,43207,22180,917,370,7021,99,1348,4250,299,279,305,441,36,11,4,6,15,12683,2320
ZCTA5 90066,55277,52383,34522,2120,447,7979,696,1931,1154,2279,964,253,702,146,36,15,8,87,7169,2894
ZCTA5 90067,2424,2366,2077,23,2,251,11,52,29,65,68,2,24,2,0,0,0,2,11,58
ZCTA5 90068,22286,21333,18045,1018,66,1494,213,268,244,216,341,58,154,16,6,5,2,3,694,953
ZCTA5 90069,20483,19790,17482,612,42,1115,126,251,201,185,130,51,171,26,19,1,2,4,513,693
ZCTA5 90071,15,15,9,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 90073,539,533,257,240,6,10,0,1,3,3,3,0,0,2,0,2,0,0,18,6
ZCTA5 90077,9377,8986,7929,142,8,772,122,249,68,98,161,10,64,4,1,2,0,1,131,391
ZCTA5 90079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 90089,3217,2985,1618,147,2,1120,157,523,29,36,212,53,110,2,1,0,1,0,96,232
ZCTA5 90090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 90094,5464,5114,3124,621,14,1207,122,325,136,148,323,36,117,13,8,2,0,3,135,350
ZCTA5 90095,3,3,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ZCTA5 90201,101279,97397,51581,1047,1037,657,46,66,233,30,102,57,123,69,11,19,39,0,43006,3882
ZCTA5 90210,21741,20789,18845,378,19,1261,147,323,166,124,377,25,99,9,1,3,0,5,277,952
