Zip,Total Population,Total Population of One Race,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,Total Population of Two or More Races
ZCTA5 91356,29458,27924,22804,1267,77,1908,255,252,576,182,272,59,312,46,15,5,3,23,1822,1534
ZCTA5 91360,42402,40831,34524,545,205,2720,486,892,359,353,249,157,224,65,26,3,16,20,2772,1571
ZCTA5 91361,20438,19794,17727,219,38,1327,322,386,151,126,161,49,132,23,9,3,4,7,460,644
ZCTA5 91362,36045,34829,29450,502,90,3231,646,1272,320,275,377,129,212,29,14,4,5,6,1527,1216
ZCTA5 91364,25851,24489,20981,1038,69,1642,258,283,403,194,227,87,190,18,5,2,5,6,741,1362
ZCTA5 91367,39499,37520,29153,1824,152,4882,1854,598,1063,310,481,187,389,56,23,4,4,25,1453,1979
ZCTA5 91371,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 91377,13811,13373,11473,141,32,1556,460,542,94,112,192,64,92,9,7,1,1,0,162,438
ZCTA5 91381,20158,19217,12752,687,76,4804,487,345,1186,171,2173,80,362,35,6,12,0,17,863,941
ZCTA5 91384,29855,28598,17228,2842,161,2287,209,194,1123,108,295,116,242,38,15,6,4,13,6042,1257
ZCTA5 91387,40328,38165,24829,2633,257,4245,398,248,1946,199,840,103,511,73,37,19,4,13,6128,2163
ZCTA5 91390,19786,18826,15613,582,83,1354,117,146,502,105,253,56,175,21,12,1,5,3,1173,960
ZCTA5 91401,39285,37522,25645,1864,290,2135,195,220,823,159,292,85,361,31,5,7,7,12,7557,1763
ZCTA5 91402,69817,66780,28209,2166,491,9877,309,169,7633,108,254,301,1103,78,15,15,2,46,25959,3037
ZCTA5 91403,23484,22459,18645,1191,39,1741,221,314,416,208,282,88,212,22,19,3,0,0,821,1025
ZCTA5 91405,51145,48686,26715,2649,329,4119,217,192,1928,162,540,318,762,79,20,12,18,29,14795,2459
ZCTA5 91406,51558,48704,28887,2774,415,4035,346,337,1922,245,257,238,690,75,10,18,8,39,12518,2854
ZCTA5 91411,24628,23468,14277,1403,196,1591,145,165,675,127,194,73,212,25,8,9,5,3,5976,1160
ZCTA5 91423,30991,29691,24792,1601,86,1998,200,347,534,266,290,77,284,33,15,9,2,7,1181,1300
ZCTA5 91436,14372,13851,12627,300,14,742,114,192,111,83,149,22,71,9,5,0,0,4,159,521
ZCTA5 91501,20849,19864,15914,471,41,2538,324,230,677,107,914,78,208,18,5,4,3,6,882,985
ZCTA5 91502,11371,10716,7682,431,98,1256,175,85,596,38,211,55,96,18,3,2,1,12,1231,655
ZCTA5 91504,24939,23805,17798,529,83,3349,407,320,1267,223,714,142,276,28,9,4,4,11,2018,1134
ZCTA5 91505,30778,29306,22383,857,158,3251,494,301,1478,225,246,215,292,16,8,3,3,2,2641,1472
ZCTA5 91506,18904,17989,13951,412,115,1990,117,224,944,144,152,202,207,12,5,1,3,3,1509,915
ZCTA5 91601,37180,35270,22025,2899,283,2493,277,254,845,200,296,103,518,57,19,11,6,21,7513,1910
ZCTA5 91602,17473,16629,13420,1122,85,1204,152,171,313,167,235,36,130,9,4,0,2,3,789,844
ZCTA5 91604,29034,27881,24008,1194,80,1946,293,321,344,250,444,66,228,26,12,5,2,7,627,1153
ZCTA5 91605,56343,53753,27562,1933,371,5525,323,171,2683,244,398,288,1418,38,12,7,2,17,18324,2590
ZCTA5 91606,44958,42754,26019,1647,321,2338,187,141,1066,135,194,168,447,96,8,16,15,57,12333,2204
ZCTA5 91607,27927,26694,21181,1470,131,1586,160,216,515,197,193,64,241,22,7,10,5,0,2304,1233
ZCTA5 91608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 91701,38976,37047,27931,2220,216,2907,302,560,874,141,346,251,433,92,20,12,24,36,3681,1929
ZCTA5 91702,59705,56954,34118,1716,711,4611,345,827,2190,248,299,210,492,99,26,15,26,32,15699,2751
ZCTA5 91706,76571,73701,33808,926,702,10736,62,3903,3461,127,119,1899,1165,93,12,22,24,35,27436,2870
ZCTA5 91708,3369,3146,1531,557,100,495,49,120,151,4,53,45,73,26,8,1,10,7,437,223
ZCTA5 91709,74796,71138,38033,3415,379,22676,2003,7367,6277,660,3401,996,1972,115,36,25,28,26,6520,3658
ZCTA5 91710,80358,76751,45594,4375,761,8057,604,2413,2742,281,592,514,911,162,30,33,56,43,17802,3607
ZCTA5 91711,35705,33840,25232,1685,177,4648,586,1633,434,298,776,401,520,38,6,5,7,20,2060,1865
ZCTA5 91722,34409,32845,18690,1259,404,3785,375,898,1475,193,83,327,434,59,22,9,11,17,8648,1564
ZCTA5 91723,18275,17371,10831,784,223,1873,72,537,752,141,66,108,197,43,14,8,14,7,3617,904
ZCTA5 91724,26184,24924,16279,938,225,3327,425,922,1155,221,94,186,324,53,15,12,13,13,4102,1260
ZCTA5 91730,66925,63330,37844,7614,539,6432,660,1137,2081,195,920,454,985,200,24,34,58,84,10701,3595
ZCTA5 91731,29591,28650,10918,292,273,7491,50,4520,377,56,68,1752,668,46,13,10,17,6,9630,941
ZCTA5 91732,61386,59342,24024,474,642,15313,89,8178,930,115,121,4431,1449,67,18,11,13,25,18822,2044
ZCTA5 91733,43896,42552,19838,222,422,7941,57,3832,164,69,22,3082,715,27,8,1,8,10,14102,1344
ZCTA5 91737,24740,23252,16945,1937,154,2267,279,568,574,122,366,56,302,46,21,2,8,15,1903,1488
ZCTA5 91739,34794,32842,19765,3479,225,5630,628,1226,1988,102,564,399,723,105,10,5,19,71,3638,1952
ZCTA5 91740,25356,24037,17437,682,225,2198,287,416,938,162,90,88,217,37,18,5,5,9,3458,1319
ZCTA5 91741,25824,24687,20992,264,128,1882,224,682,438,150,95,70,223,16,4,1,2,9,1405,1137
ZCTA5 91744,85040,82052,41324,1353,872,7262,121,2086,3163,133,225,935,599,105,18,12,51,24,31136,2988
ZCTA5 91745,54013,52269,21864,743,314,20062,265,13312,1212,1158,2477,417,1221,99,30,7,29,33,9187,1744
ZCTA5 91746,30485,29443,15713,474,316,2255,29,601,775,63,44,479,264,46,7,12,23,4,10639,1042
ZCTA5 91748,45406,44001,10468,683,170,27143,476,17725,2857,522,3129,635,1799,57,5,1,39,12,5480,1405
ZCTA5 91750,33249,31745,24659,1236,291,2508,301,669,727,230,165,146,270,66,27,14,6,19,2985,1504
ZCTA5 91752,30047,28621,16190,1785,287,2089,204,407,579,36,200,306,357,82,9,17,16,40,8188,1426
ZCTA5 91754,32742,31711,7112,161,165,20599,82,14543,582,2389,544,925,1534,15,4,4,2,5,3659,1031
ZCTA5 91755,27496,26783,4559,91,77,19683,70,14329,579,1126,220,1704,1655,13,4,3,0,6,2360,713
ZCTA5 91759,476,468,435,1,8,12,0,5,0,4,3,0,0,0,0,0,0,0,12,8
ZCTA5 91761,56913,54260,28903,4089,478,3657,311,505,1435,139,194,594,479,172,22,13,46,91,16961,2653
ZCTA5 91762,55857,53390,30737,2728,662,2568,142,437,646,70,147,693,433,179,31,22,43,83,16516,2467
ZCTA5 91763,36375,34780,19140,1902,430,3439,91,550,864,58,79,1154,643,74,5,15,17,37,9795,1595
ZCTA5 91764,54086,51424,25750,3813,586,2407,197,334,849,54,152,405,416,165,17,11,39,98,18703,2662
ZCTA5 91765,46457,44601,15686,2057,154,24067,1789,11990,2762,691,4674,622,1539,82,24,18,24,16,2555,1856
ZCTA5 91766,71599,68593,32984,3799,867,7443,388,2083,1773,230,625,981,1363,125,23,14,37,51,23375,3006
ZCTA5 91767,48068,45811,23622,4640,550,3299,183,750,923,91,269,535,548,86,21,9,47,9,13614,2257
ZCTA5 91768,34537,32851,17335,2541,377,2162,120,569,585,88,207,296,297,79,13,8,52,6,10357,1686
ZCTA5 91770,62097,60614,13668,357,458,36591,232,20953,1026,1121,327,8832,4100,37,9,12,10,6,9503,1483
ZCTA5 91773,33119,31483,23804,1078,232,3492,386,942,1063,330,209,145,417,48,19,10,13,6,2829,1636
ZCTA5 91775,23988,23134,9315,334,97,11252,197,8099,491,617,380,596,872,13,8,1,0,4,2123,854
ZCTA5 91776,38475,37484,7889,389,212,24418,135,16776,1015,458,241,3416,2377,37,17,7,9,4,4539,991
ZCTA5 91780,34332,33331,11732,286,161,18670,282,14008,746,479,437,1321,1397,32,13,9,5,5,2450,1001
ZCTA5 91784,25938,24959,19387,1002,124,3022,433,932,554,149,525,136,293,36,16,13,1,6,1388,979
ZCTA5 91786,51165,48482,31742,4465,422,3479,297,684,923,193,297,412,673,138,29,19,25,65,8236,2683
ZCTA5 91789,43079,41550,11374,1219,104,26009,938,14335,4748,796,2601,693,1898,60,16,3,30,11,2784,1529
ZCTA5 91790,44907,42943,20956,1685,503,8296,200,2870,2416,219,113,1611,867,88,20,15,25,28,11415,1964
ZCTA5 91791,32414,31051,16170,1406,324,7316,229,3427,1799,266,330,645,620,48,18,7,13,10,5787,1363
ZCTA5 91792,30854,29402,8948,1764,233,12548,259,3229,6883,263,327,607,980,64,21,9,22,12,5845,1452
ZCTA5 91801,52735,50845,14439,919,316,28788,342,20423,1410,720,626,2609,2658,38,12,9,10,7,6345,1890
ZCTA5 91803,30322,29306,9082,362,222,15138,109,10586,701,503,222,1584,1433,43,19,8,13,3,4459,1016
ZCTA5 91901,17403,16802,14919,221,544,358,36,28,176,47,12,22,37,52,6,20,12,14,708,601
ZCTA5 91902,17653,16709,11597,612,135,1977,46,108,1461,168,68,51,75,114,13,84,13,4,2274,944
ZCTA5 91905,1700,1626,1274,55,157,19,0,2,9,2,0,4,2,11,1,8,1,1,110,74
ZCTA5 91906,3627,3448,2696,128,238,35,0,5,15,8,1,1,5,6,2,2,1,1,345,179
ZCTA5 91910,75802,71690,43811,3354,722,7537,174,530,5013,629,626,221,344,372,47,203,72,50,15894,4112
ZCTA5 91911,82999,78620,45228,3206,729,6426,99,437,4727,501,215,224,223,534,55,299,105,75,22497,4379
ZCTA5 91913,40971,38277,19016,2406,183,10958,159,391,8781,349,720,212,346,284,30,171,48,35,5430,2694
ZCTA5 91914,15448,14376,7928,710,71,3517,63,121,2721,144,164,141,163,49,11,28,8,2,2101,1072
ZCTA5 91915,24659,22912,12372,1466,157,5985,68,185,4848,287,290,92,215,96,11,61,6,18,2836,1747
ZCTA5 91916,1622,1591,1458,10,33,30,0,12,4,3,2,3,6,9,1,2,0,6,51,31
ZCTA5 91917,992,954,710,12,12,14,2,0,3,4,0,0,5,5,1,0,0,4,201,38
ZCTA5 91931,592,574,517,0,8,3,0,0,3,0,0,0,0,0,0,0,0,0,46,18
ZCTA5 91932,25718,23980,16128,1016,262,1704,37,46,1387,122,14,24,74,178,46,70,27,35,4692,1738
ZCTA5 91934,737,697,543,5,27,6,0,0,6,0,0,0,0,0,0,0,0,0,116,40
ZCTA5 91935,8624,8280,7470,121,51,120,12,9,54,23,5,6,11,14,0,10,2,2,504,344
ZCTA5 91941,31779,29958,23398,2308,254,1560,103,247,494,160,59,314,183,180,19,63,60,38,2258,1821
ZCTA5 91942,38069,36011,28372,2572,227,2115,147,401,617,226,144,300,280,180,26,99,38,17,2545,2058
ZCTA5 91945,25460,23640,13122,3530,225,1630,18,80,725,128,20,433,226,277,29,137,95,16,4856,1820
ZCTA5 91948,78,78,76,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ZCTA5 91950,60322,57417,25613,3022,642,10733,71,163,9795,118,68,127,391,507,31,218,187,71,16900,2905
ZCTA5 91962,1646,1585,1522,6,14,16,5,1,3,0,0,5,2,1,1,0,0,0,26,61
ZCTA5 91963,1118,1077,621,2,17,7,0,1,5,1,0,0,0,11,0,8,3,0,419,41
ZCTA5 91977,58368,54130,29126,7372,482,4669,77,181,3391,232,93,308,387,640,70,300,225,45,11841,4238
ZCTA5 91978,8896,8360,5772,790,69,449,14,35,286,36,7,38,33,45,10,31,3,1,1235,536
ZCTA5 91980,165,163,87,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,70,2
ZCTA5 92003,4746,4523,3790,76,25,178,7,33,38,28,12,50,10,10,3,1,6,0,444,223
ZCTA5 92004,3881,3780,3113,22,66,30,2,7,7,3,0,1,10,5,2,1,0,2,544,101
ZCTA5 92007,10429,10070,9119,43,63,327,52,85,55,70,21,22,22,16,6,6,0,4,502,359
ZCTA5 92008,27649,26561,23143,380,234,1117,170,208,214,212,95,97,121,67,17,13,21,16,1620,1088
ZCTA5 92009,40747,39077,34003,501,117,3196,464,975,497,323,424,280,233,60,18,17,8,17,1200,1670
ZCTA5 92010,14382,13685,11508,237,88,1231,222,285,251,118,171,103,81,39,11,7,12,9,582,697
ZCTA5 92011,22405,21483,18425,260,75,1911,339,539,262,199,236,195,141,32,10,8,10,4,780,922
ZCTA5 92014,13154,12776,11758,73,33,783,122,303,75,110,66,66,41,10,4,2,3,1,119,378
ZCTA5 92019,42598,40344,34276,1513,403,1443,73,182,723,114,76,157,118,107,24,58,14,11,2602,2254
ZCTA5 92020,57767,53859,40938,3563,454,2028,77,321,899,124,50,180,377,316,33,158,78,47,6560,3908
ZCTA5 92021,65068,60952,47066,3561,547,1905,69,185,950,127,57,242,275,302,62,135,70,35,7571,4116
ZCTA5 92024,49121,47444,41977,318,238,1996,299,515,298,377,197,114,196,75,33,15,2,25,2840,1677
ZCTA5 92025,49978,47766,29165,1197,622,2050,138,209,764,132,86,417,304,116,23,30,49,14,14616,2212
ZCTA5 92026,48922,46888,32805,1241,372,3610,183,310,1626,162,145,692,492,104,38,34,13,19,8756,2034
ZCTA5 92027,53881,51611,32592,1220,512,3224,136,221,1462,97,175,684,449,153,43,56,32,22,13910,2270
ZCTA5 92028,46239,44378,33378,659,327,1147,47,125,452,173,94,82,174,122,30,31,49,12,8745,1861
ZCTA5 92029,19021,18262,14899,293,128,1426,135,200,547,103,82,217,142,23,8,8,2,5,1493,759
ZCTA5 92036,3440,3370,3081,39,55,21,0,1,10,6,0,0,4,3,3,0,0,0,171,70
ZCTA5 92037,46781,44951,35693,557,79,7528,1013,3302,504,513,1165,557,474,46,13,8,8,17,1048,1830
ZCTA5 92040,41281,39359,34485,597,992,694,17,73,368,48,31,61,96,127,33,42,32,20,2464,1922
ZCTA5 92054,40375,38149,27495,1532,391,1453,68,208,582,217,77,120,181,368,70,37,205,56,6910,2226
ZCTA5 92055,15655,15290,13234,979,181,462,18,27,100,13,29,27,248,139,33,1,0,105,295,365
ZCTA5 92056,51835,49027,36886,1874,356,3327,139,397,1425,405,210,423,328,557,73,69,347,68,6027,2808
ZCTA5 92057,54096,50662,33318,3175,370,4674,147,315,2759,468,236,457,292,843,85,135,564,59,8282,3434
ZCTA5 92058,42436,39343,26360,3222,600,2243,62,118,1225,245,119,230,244,546,83,117,255,91,6372,3093
ZCTA5 92059,1618,1453,423,25,627,9,3,0,6,0,0,0,0,4,0,3,0,1,365,165
ZCTA5 92060,218,209,201,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,2,9
ZCTA5 92061,2499,2422,1178,13,567,31,0,11,15,3,0,0,2,3,2,0,1,0,630,77
ZCTA5 92064,47904,45823,36853,783,266,4866,563,912,1872,317,259,635,308,106,36,40,7,23,2949,2081
ZCTA5 92065,35414,34166,29355,262,350,521,33,92,216,70,13,25,72,114,33,43,22,16,3564,1248
ZCTA5 92066,378,360,326,10,2,7,0,0,6,1,0,0,0,0,0,0,0,0,15,18
ZCTA5 92067,9535,9301,8623,60,12,452,73,170,45,50,67,30,17,8,5,2,0,1,146,234
ZCTA5 92069,46369,44153,27203,1086,410,3946,336,520,1564,238,168,692,428,217,32,54,92,39,11291,2216
ZCTA5 92070,1245,1214,738,7,397,11,0,3,4,3,0,1,0,0,0,0,0,0,61,31
ZCTA5 92071,53422,50529,44086,1057,410,2046,92,213,973,168,101,255,244,253,52,132,34,35,2677,2893
ZCTA5 92075,12056,11637,10322,53,58,454,60,123,54,98,39,35,45,19,6,3,0,10,731,419
ZCTA5 92078,42906,40728,30744,921,219,3669,375,650,1284,234,258,490,378,109,27,26,34,22,5066,2178
ZCTA5 92081,27404,25879,19760,995,179,1938,208,351,535,189,197,242,216,137,24,42,41,30,2870,1525
ZCTA5 92082,19037,18110,13111,120,1222,496,19,46,231,64,43,26,67,39,10,14,10,5,3122,927
ZCTA5 92083,36975,35044,21302,1217,485,1192,44,118,464,142,67,226,131,337,33,54,215,35,10511,1931
ZCTA5 92084,47654,45331,31854,1308,593,1422,50,153,513,214,142,215,135,272,32,30,161,49,9882,2323
ZCTA5 92086,1573,1524,1269,25,124,36,2,2,6,3,22,0,1,0,0,0,0,0,70,49
ZCTA5 92091,1048,1026,974,5,2,38,6,10,7,9,2,0,4,0,0,0,0,0,7,22
ZCTA5 92101,37095,35456,26077,3491,325,2760,285,598,902,221,311,165,278,106,36,34,20,16,2697,1639
ZCTA5 92102,43267,41301,19177,4624,378,2578,70,108,434,88,36,433,1409,165,29,41,67,28,14379,1966
ZCTA5 92103,31066,29880,25721,863,160,1830,157,390,512,245,171,141,214,73,19,31,11,12,1233,1186
ZCTA5 92104,44414,41897,27283,4117,441,2549,99,378,770,188,124,536,454,187,38,50,39,60,7320,2517
ZCTA5 92105,69813,66606,22043,9975,567,12738,96,860,723,93,75,6891,4000,268,26,91,103,48,21015,3207
ZCTA5 92106,19330,18573,16575,532,118,634,30,92,251,94,38,47,82,57,16,15,15,11,657,757
ZCTA5 92107,28651,27545,25147,505,177,733,53,127,199,130,83,41,100,62,30,10,12,10,921,1106
ZCTA5 92108,18858,17818,13188,1143,109,2180,208,372,770,206,222,146,256,99,24,38,10,27,1099,1040
ZCTA5 92109,45787,44088,39611,618,191,1546,185,303,396,234,154,103,171,111,53,19,18,21,2011,1699
ZCTA5 92110,25341,23957,19497,1296,148,1409,71,205,507,203,122,116,185,108,25,52,19,12,1499,1384
ZCTA5 92111,45096,42457,25103,2595,420,8324,201,874,1610,451,408,3346,1434,263,58,57,93,55,5752,2639
ZCTA5 92113,56066,53694,21202,7575,486,1883,48,85,921,46,37,219,527,312,19,65,131,97,22236,2372
ZCTA5 92114,65433,61766,15923,15324,431,15585,32,136,13033,167,26,546,1645,825,33,334,411,47,13678,3667
ZCTA5 92115,58560,55240,32298,6461,412,8500,691,1066,920,313,220,3478,1812,261,43,101,42,75,7308,3320
ZCTA5 92116,31680,29971,21563,2610,265,1573,67,228,477,173,98,257,273,121,42,46,8,25,3839,1709
ZCTA5 92117,51332,48477,37205,1091,315,4797,245,1138,974,526,343,1019,552,224,67,70,50,37,4845,2855
ZCTA5 92118,23575,22666,19253,1544,191,878,32,127,439,80,54,51,95,96,23,23,14,36,704,909
ZCTA5 92119,23057,21959,18823,884,123,1220,59,292,327,125,75,208,134,122,21,76,16,9,787,1098
ZCTA5 92120,26317,25029,21153,985,141,1658,135,267,511,175,112,248,210,83,20,32,13,18,1009,1288
ZCTA5 92121,4179,3974,2354,57,8,1430,193,570,147,49,169,201,101,5,1,1,1,2,120,205
ZCTA5 92122,43728,41899,26038,684,83,13626,2456,4992,965,1238,2436,690,849,81,13,37,11,20,1387,1829
ZCTA5 92123,26823,24889,16463,2442,235,3866,169,560,1324,339,280,769,425,226,39,87,81,19,1657,1934
ZCTA5 92124,30443,28009,21056,2005,176,3120,99,550,1067,310,234,594,266,178,53,69,21,35,1474,2434
ZCTA5 92126,73343,68759,28217,3372,313,32211,2877,3310,15554,580,561,7124,2205,517,73,223,85,136,4129,4584
ZCTA5 92127,39337,37084,24340,977,103,10717,1938,2472,2970,422,1008,1130,777,110,26,39,12,33,837,2253
ZCTA5 92128,47490,45346,32976,1080,132,10144,2078,2340,2445,670,1311,697,603,102,20,48,13,21,912,2144
ZCTA5 92129,51536,48455,29971,1326,151,15465,1462,3717,6002,479,961,1878,966,147,31,65,28,23,1395,3081
ZCTA5 92130,48940,46869,33372,417,78,12269,1938,5472,626,691,2265,682,595,40,8,17,3,12,693,2071
ZCTA5 92131,32787,31156,22384,734,107,7279,1165,1627,1778,302,842,1024,541,67,10,27,8,22,585,1631
ZCTA5 92132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 92134,198,182,115,30,5,22,0,2,17,0,0,2,1,0,0,0,0,0,10,16
ZCTA5 92135,571,549,449,60,2,19,1,2,14,0,0,1,1,1,0,1,0,0,18,22
ZCTA5 92139,35125,32740,10646,4751,197,11289,27,63,10558,158,39,139,305,463,38,270,125,30,5394,2385
ZCTA5 92140,3435,3299,2782,148,54,89,2,9,21,3,11,14,29,19,7,3,3,6,207,136
ZCTA5 92145,1449,1351,765,71,0,449,57,108,87,9,33,110,45,6,6,0,0,0,60,98
ZCTA5 92147,559,541,432,59,1,27,0,2,19,2,1,1,2,3,1,1,0,1,19,18
ZCTA5 92154,79708,75677,38684,4567,527,10817,42,384,9309,281,122,254,425,367,62,218,50,37,20715,4031
ZCTA5 92155,550,525,371,74,8,28,1,4,22,0,0,0,1,4,2,0,0,2,40,25
ZCTA5 92173,29429,28396,17165,434,230,679,26,36,557,12,8,7,33,74,8,28,30,8,9814,1033
ZCTA5 92201,61827,59736,35786,1466,606,1075,119,136,447,80,68,126,99,39,15,10,1,13,20764,2091
ZCTA5 92203,25605,24720,18551,599,237,920,79,124,431,62,48,59,117,27,10,2,4,11,4386,885
ZCTA5 92210,4677,4626,4459,26,20,81,11,20,25,12,7,4,2,2,1,0,0,1,38,51
ZCTA5 92211,24294,23801,21324,440,93,798,76,141,270,84,90,72,65,28,15,0,6,7,1118,493
ZCTA5 92220,31638,30037,20229,2205,1212,1606,28,66,322,65,87,17,1021,48,19,5,16,8,4737,1601
ZCTA5 92222,45,44,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
ZCTA5 92223,43605,41471,28877,2344,657,2947,195,383,1242,104,269,170,584,89,21,37,12,19,6557,2134
ZCTA5 92225,24310,23529,14691,3326,275,327,42,24,153,13,16,29,50,37,17,6,9,5,4873,781
ZCTA5 92227,26234,25186,14351,519,253,369,42,58,215,11,12,8,23,45,4,14,13,14,9649,1048
ZCTA5 92230,2550,2399,1762,137,90,38,6,3,19,1,0,2,7,14,1,0,4,9,358,151
ZCTA5 92231,39073,37409,23466,137,207,508,14,337,43,10,81,14,9,22,6,4,3,9,13069,1664
ZCTA5 92233,8099,7855,3428,1628,84,103,4,6,42,9,3,21,18,25,6,2,8,9,2587,244
ZCTA5 92234,51151,48998,32490,1344,540,2561,131,169,1771,70,61,189,170,55,12,16,12,15,12008,2153
ZCTA5 92236,41083,40006,19752,317,306,267,17,18,188,9,3,24,8,34,3,10,13,8,19330,1077
ZCTA5 92239,223,212,175,1,5,3,0,0,3,0,0,0,0,0,0,0,0,0,28,11
ZCTA5 92240,34722,33113,20594,2360,451,774,47,75,365,41,59,45,142,95,21,20,38,16,8839,1609
ZCTA5 92241,8803,8583,6531,114,100,79,4,4,35,11,15,0,10,10,6,0,3,1,1749,220
ZCTA5 92242,1539,1462,1325,18,52,2,0,0,0,1,0,0,1,1,1,0,0,0,64,77
ZCTA5 92243,48030,45622,29344,1205,601,1078,195,179,339,45,187,69,64,40,5,12,13,10,13354,2408
ZCTA5 92249,7334,6897,4127,49,40,55,7,14,20,3,5,0,6,0,0,0,0,0,2626,437
ZCTA5 92250,8285,8043,5421,43,59,93,11,11,53,9,3,3,3,8,4,1,3,0,2419,242
ZCTA5 92251,21583,20659,13752,1900,209,434,34,36,178,37,42,31,76,14,0,5,6,3,4350,924
ZCTA5 92252,9647,9116,8097,281,127,135,4,10,62,18,16,0,25,23,4,4,9,6,453,531
ZCTA5 92253,37262,36049,29388,701,229,1171,105,161,358,131,176,123,117,41,22,7,6,6,4519,1213
ZCTA5 92254,12768,12393,4373,74,81,37,1,6,27,2,0,0,1,12,3,2,0,7,7816,375
ZCTA5 92256,3588,3446,3107,41,73,34,3,6,16,1,3,0,5,4,0,0,0,4,187,142
ZCTA5 92257,2326,2242,1610,91,39,60,8,13,30,4,2,2,1,1,0,1,0,0,441,84
ZCTA5 92258,861,836,398,62,17,7,0,0,3,3,0,1,0,1,0,1,0,0,351,25
ZCTA5 92259,390,387,360,1,2,7,0,0,1,0,5,1,0,0,0,0,0,0,17,3
ZCTA5 92260,31753,30967,25963,498,176,952,66,177,218,114,137,140,100,32,11,4,2,15,3346,786
ZCTA5 92262,26179,25267,18429,1552,292,1043,85,107,561,70,33,35,152,38,14,10,4,10,3913,912
ZCTA5 92264,19383,18860,16043,455,188,940,43,51,702,45,31,20,48,33,10,3,6,14,1201,523
ZCTA5 92266,234,218,179,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,31,16
ZCTA5 92267,126,126,118,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ZCTA5 92268,574,556,539,8,3,3,0,0,0,1,0,0,2,0,0,0,0,0,3,18
ZCTA5 92270,17220,16882,15269,256,94,651,136,102,200,43,65,37,68,14,5,7,1,1,598,338
ZCTA5 92273,1823,1655,743,24,7,28,0,0,24,3,1,0,0,2,0,1,1,0,851,168
ZCTA5 92274,19801,19249,8147,119,339,152,21,34,55,27,3,6,6,9,8,1,0,0,10483,552
ZCTA5 92275,1506,1459,1038,40,15,32,1,1,15,0,0,1,14,0,0,0,0,0,334,47
ZCTA5 92276,7585,7375,5640,104,73,126,13,2,71,8,9,5,18,10,5,4,0,1,1422,210
ZCTA5 92277,23911,22162,17161,1877,302,886,20,50,456,109,69,90,92,339,23,74,182,60,1597,1749
ZCTA5 92278,3846,3713,2975,257,67,140,2,12,54,3,22,10,37,18,5,4,4,5,256,133
ZCTA5 92280,14,13,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZCTA5 92281,2432,2354,1156,21,53,13,0,5,5,0,0,0,3,0,0,0,0,0,1111,78
ZCTA5 92282,1239,1194,922,52,34,31,4,2,10,3,1,0,11,0,0,0,0,0,155,45
ZCTA5 92283,3158,2964,1187,54,1407,25,3,5,12,0,1,4,0,0,0,0,0,0,291,194
ZCTA5 92284,25095,24115,21100,715,285,509,103,47,179,38,27,26,89,54,14,11,22,7,1452,980
ZCTA5 92285,2632,2552,2315,24,54,25,0,2,5,2,2,1,13,1,0,1,0,0,133,80
ZCTA5 92301,32725,30910,14588,6556,423,627,39,33,293,25,49,57,131,197,36,26,72,63,8519,1815
ZCTA5 92304,17,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
ZCTA5 92305,535,517,460,1,4,5,1,0,4,0,0,0,0,1,1,0,0,0,46,18
ZCTA5 92307,37630,35665,26584,3316,416,939,98,96,360,85,138,57,105,157,51,23,57,26,4253,1965
ZCTA5 92308,39837,37857,27818,3292,461,1199,176,119,429,78,211,68,118,149,28,27,87,7,4938,1980
ZCTA5 92309,763,740,320,1,8,10,7,0,1,0,2,0,0,14,0,2,12,0,387,23
ZCTA5 92310,8845,8108,5481,1086,103,402,4,27,214,9,45,28,75,120,16,45,37,22,916,737
ZCTA5 92311,31894,29595,18009,3740,709,895,56,91,447,68,121,22,90,344,23,153,146,22,5898,2299
ZCTA5 92313,12025,11398,7905,669,120,774,99,84,252,48,65,38,188,32,14,2,11,5,1898,627
ZCTA5 92314,10162,9743,8426,72,147,85,4,24,23,14,4,3,13,26,21,0,1,4,987,419
ZCTA5 92315,5094,4927,4274,22,48,78,19,13,7,11,15,0,13,10,3,6,0,1,495,167
ZCTA5 92316,30830,29570,16336,1326,365,504,60,63,202,13,11,53,102,60,2,12,14,32,10979,1260
ZCTA5 92320,7788,7555,6709,88,99,90,7,10,15,14,22,4,18,9,1,1,5,2,560,233
ZCTA5 92321,1522,1453,1301,3,5,13,0,3,3,3,0,1,3,8,0,0,8,0,123,69
